Gene	Newman-control-R01	Newman-control-R02	Newman-control-R03	Newman-min10-R01	Newman-min10-R02	Newman-min10-R03	Newman-min2-R01	Newman-min2-R02	Newman-min2-R03	Newman-min20-R01	Newman-min20-R02	Newman-min20-R03	Newman-min30-R01	Newman-min30-R02	Newman-min30-R03	Newman-min5-R01	Newman-min5-R02	Newman-min5-R03
CDS_0001	0	0	0	22	23	26	1	1	3	15	20	13	16	6	7	20	1	26
CDS_0002	0	0	0	2	9	12	0	0	1	5	1	4	5	9	5	8	1	6
CDS_0003	0	0	0	120	203	112	19	3	37	106	119	74	64	60	68	97	14	138
CDS_0004	0	0	0	103	207	100	24	1	31	115	145	85	59	58	58	71	10	128
CDS_0005	0	0	0	112	196	101	19	1	28	97	118	79	55	52	53	86	20	158
CDS_0006	0	0	0	162	248	188	30	2	51	160	177	104	91	73	93	139	24	260
CDS_0007	0	0	0	159	216	150	12	0	36	139	169	107	68	66	58	82	10	206
CDS_0008	1	0	0	139	217	170	6	1	33	153	191	111	63	67	68	82	9	226
CDS_0009	0	0	0	150	232	191	20	1	29	150	212	108	84	82	60	101	16	240
CDS_0010	0	0	0	235	299	238	26	4	54	237	298	140	110	111	81	136	17	312
CDS_0011	1	0	0	646	2016	624	927	59	1242	512	404	741	291	240	384	803	228	1044
CDS_0012	0	0	0	73	183	62	83	5	134	68	42	94	36	35	47	86	31	102
CDS_0013	0	0	0	1	0	0	0	0	0	5	2	1	7	5	1	0	0	0
CDS_0014	0	0	0	37	106	46	35	6	62	38	59	68	62	33	60	40	15	78
CDS_0015	0	0	0	13	42	16	22	1	30	13	18	21	17	9	22	20	4	25
CDS_0016	0	0	0	91	177	92	85	5	124	75	71	97	74	39	78	75	38	136
CDS_0017	0	0	0	15	42	18	25	0	22	20	8	22	9	3	17	12	10	18
CDS_0018	0	0	0	5	10	15	7	0	7	9	7	9	11	4	7	3	3	4
CDS_0019	0	0	0	28	26	44	7	2	10	35	29	34	17	12	15	8	0	22
CDS_0020	0	0	0	1311	1280	1652	116	19	335	2109	1329	2322	1135	986	871	612	56	1122
CDS_0021	0	0	0	16	33	15	11	0	23	19	7	18	21	11	14	13	6	15
CDS_0022	0	0	0	41	97	32	33	3	59	48	27	48	46	23	29	44	13	72
CDS_0023	1	0	0	235	597	327	203	13	313	305	285	442	351	130	331	297	101	467
CDS_0024	0	0	0	71	149	123	73	5	132	146	99	142	176	80	147	106	38	179
CDS_0025	0	0	0	256	392	371	144	16	275	372	360	417	436	225	386	238	89	446
CDS_0026	0	0	0	130	148	167	66	7	162	232	146	243	253	128	219	149	50	281
CDS_0027	0	0	0	144	145	188	50	9	136	199	170	233	198	155	188	137	43	241
CDS_0028	1	0	0	166	274	208	99	7	176	269	226	246	216	121	171	170	45	294
CDS_0029	0	0	0	30	28	70	0	1	3	123	74	83	72	93	32	12	0	22
CDS_0030	0	0	0	189	126	450	2	2	11	917	555	550	458	527	248	61	6	143
CDS_0031	0	0	0	1363	766	2992	11	9	32	6017	3580	3509	3274	3154	1407	425	45	1016
CDS_0032	0	0	0	1247	633	2426	9	7	35	4285	2787	2673	2550	2187	1136	365	32	861
CDS_0033	0	0	0	1012	761	2036	17	9	38	4099	2469	2181	2143	2118	990	350	34	857
CDS_0034	0	0	0	706	378	1171	7	4	30	2136	1272	1192	1219	1030	518	200	23	558
CDS_0035	0	0	0	1118	726	1628	25	6	58	2848	1716	1721	1591	1458	751	369	52	949
CDS_0036	0	0	0	1647	1169	2485	36	18	136	3667	2640	2191	1838	1990	963	668	85	1702
CDS_0037	0	0	0	1402	1208	2154	51	18	142	3384	2428	1920	1759	1875	950	605	99	1573
CDS_0038	1	1	0	2436	2031	3491	113	23	331	5299	4134	3140	2911	2790	1551	1021	139	2832
CDS_0039	0	0	0	1276	1191	1843	76	16	209	2487	2104	1651	1325	1301	836	658	99	1592
CDS_0040	0	0	0	2529	2312	3355	215	35	558	4438	3551	2997	2450	2234	1372	1377	172	3297
CDS_0041	0	0	0	866	738	1430	23	11	59	6281	1712	4214	9230	4621	2943	275	33	478
CDS_0042	0	0	0	355	343	603	12	2	27	2734	731	1794	4084	2023	1297	125	9	207
CDS_0043	1	0	0	5977	4156	9919	120	35	385	37686	13654	26545	36189	28417	13220	2074	261	3247
CDS_0044	1	0	1	6314	4034	10047	141	44	448	32340	12648	25426	32713	24832	12669	2157	264	3574
CDS_0045	0	0	0	4143	2794	6429	114	37	328	21915	8071	16267	22750	16657	8672	1388	163	2611
CDS_0046	0	0	0	2286	1727	3271	102	28	285	14978	5212	8370	21678	12170	10080	925	122	1747
CDS_0047	0	0	0	2615	1825	4012	83	24	247	20583	6419	12259	31782	17147	13842	830	94	1753
CDS_0048	0	0	0	2584	2722	3547	106	31	280	5794	4392	3214	2403	2770	1401	1008	139	2341
CDS_0049	0	0	0	1189	1487	1774	66	16	160	2504	2030	1403	1127	1177	687	580	60	1302
CDS_0050	0	0	0	1656	1960	2245	84	24	258	3151	2800	1824	1621	1549	919	789	103	1850
CDS_0051	1	0	0	3206	3808	4275	240	44	680	5623	4862	3531	2691	2783	1637	1628	210	3770
CDS_0052	0	0	0	560	737	770	64	8	123	919	883	543	424	450	280	347	50	744
CDS_0053	0	0	0	1111	1331	1350	126	11	282	1579	1546	1150	737	718	514	667	102	1528
CDS_0054	0	0	0	1491	1382	1729	128	24	413	1994	1870	1499	1065	1017	680	928	126	1881
CDS_0055	1	0	0	126	131	180	14	2	20	1099	221	748	4590	1244	2010	50	3	90
CDS_0056	0	0	0	188	241	303	4	3	16	1023	396	641	2605	874	871	65	10	169
CDS_0057	1	0	0	6638	6126	9481	209	46	539	17930	12516	12074	8784	9661	4328	2523	292	5531
CDS_0058	0	0	1	5830	5684	8772	235	70	688	15353	10972	9519	7772	7773	3865	2625	312	5736
CDS_0059	0	0	0	1595	1667	2349	61	23	184	3327	3071	1975	1494	1623	890	734	90	1693
CDS_0060	0	0	0	2119	2284	2986	70	30	233	4279	4026	2159	1906	1952	1096	969	159	2338
CDS_0061	1	1	0	6608	5953	8642	296	73	935	10017	10244	5937	4611	4519	3097	3308	456	7525
