#Feature	Chrom	Start	End	Counts
UAKGERNU_CDS_0001	NC_005880.2	84	180	1
UAKGERNU_CDS_0002	NC_005880.2	273	381	0
UAKGERNU_CDS_0003	NC_005880.2	485	785	3
UAKGERNU_CDS_0004	NC_005880.2	800	986	1
UAKGERNU_CDS_0005	NC_005880.2	1092	1380	1
UAKGERNU_CDS_0006	NC_005880.2	1379	1706	2
UAKGERNU_CDS_0007	NC_005880.2	1721	2015	0
UAKGERNU_CDS_0008	NC_005880.2	2018	2276	1
UAKGERNU_CDS_0009	NC_005880.2	2353	2593	1
UAKGERNU_CDS_0010	NC_005880.2	2603	2951	4
UAKGERNU_CDS_0011	NC_005880.2	3161	3500	59
UAKGERNU_CDS_0012	NC_005880.2	3478	3637	5
UAKGERNU_CDS_0013	NC_005880.2	3650	3764	0
UAKGERNU_CDS_0014	NC_005880.2	3810	4119	6
UAKGERNU_CDS_0015	NC_005880.2	4137	4272	1
UAKGERNU_CDS_0016	NC_005880.2	4324	4612	5
UAKGERNU_CDS_0017	NC_005880.2	4661	4853	0
UAKGERNU_CDS_0018	NC_005880.2	4839	4935	0
UAKGERNU_CDS_0019	NC_005880.2	4961	5102	2
UAKGERNU_CDS_0020	NC_005880.2	5169	5658	19
UAKGERNU_CDS_0021	NC_005880.2	5816	5984	0
UAKGERNU_CDS_0022	NC_005880.2	6053	6185	3
UAKGERNU_CDS_0023	NC_005880.2	6352	6676	13
UAKGERNU_CDS_0024	NC_005880.2	6775	7012	5
UAKGERNU_CDS_0025	NC_005880.2	7091	7562	16
UAKGERNU_CDS_0026	NC_005880.2	7620	7794	7
UAKGERNU_CDS_0027	NC_005880.2	7793	8063	9
UAKGERNU_CDS_0028	NC_005880.2	8147	8369	7
UAKGERNU_CDS_0029	NC_005880.2	8442	8544	1
UAKGERNU_CDS_0030	NC_005880.2	8559	8682	2
UAKGERNU_CDS_0031	NC_005880.2	8665	8902	9
UAKGERNU_CDS_0032	NC_005880.2	8901	9075	7
UAKGERNU_CDS_0033	NC_005880.2	9081	9336	9
UAKGERNU_CDS_0034	NC_005880.2	9338	9530	4
UAKGERNU_CDS_0035	NC_005880.2	9526	10012	6
UAKGERNU_CDS_0036	NC_005880.2	10004	10436	18
UAKGERNU_CDS_0037	NC_005880.2	10449	10992	18
UAKGERNU_CDS_0038	NC_005880.2	11003	11492	23
UAKGERNU_CDS_0039	NC_005880.2	11504	11903	16
UAKGERNU_CDS_0040	NC_005880.2	11899	12607	35
UAKGERNU_CDS_0041	NC_005880.2	12706	13261	11
UAKGERNU_CDS_0042	NC_005880.2	13276	13594	2
UAKGERNU_CDS_0043	NC_005880.2	13662	13776	35
UAKGERNU_CDS_0044	NC_005880.2	13784	13961	44
UAKGERNU_CDS_0045	NC_005880.2	13957	14086	37
UAKGERNU_CDS_0046	NC_005880.2	14163	14364	28
UAKGERNU_CDS_0047	NC_005880.2	14363	14465	24
UAKGERNU_CDS_0048	NC_005880.2	14579	15128	31
UAKGERNU_CDS_0049	NC_005880.2	15131	15350	16
UAKGERNU_CDS_0050	NC_005880.2	15350	15545	24
UAKGERNU_CDS_0051	NC_005880.2	15534	16272	44
UAKGERNU_CDS_0052	NC_005880.2	16334	16439	8
UAKGERNU_CDS_0053	NC_005880.2	16450	16690	11
UAKGERNU_CDS_0054	NC_005880.2	16691	17081	24
UAKGERNU_CDS_0055	NC_005880.2	17179	17353	2
UAKGERNU_CDS_0056	NC_005880.2	17393	17876	3
UAKGERNU_CDS_0057	NC_005880.2	17925	18468	46
UAKGERNU_CDS_0058	NC_005880.2	18467	19001	70
UAKGERNU_CDS_0059	NC_005880.2	19003	19168	23
UAKGERNU_CDS_0060	NC_005880.2	19170	19446	30
UAKGERNU_CDS_0061	NC_005880.2	19445	20291	73
UAKGERNU_CDS_0062	NC_005880.2	20302	21187	178
UAKGERNU_CDS_0063	NC_005880.2	21155	21422	47
UAKGERNU_CDS_0064	NC_005880.2	21437	21545	2
UAKGERNU_CDS_0065	NC_005880.2	21575	21902	12
UAKGERNU_CDS_0066	NC_005880.2	21894	22311	22
UAKGERNU_CDS_0067	NC_005880.2	22444	22747	54
UAKGERNU_CDS_0068	NC_005880.2	22746	22935	17
UAKGERNU_CDS_0069	NC_005880.2	22978	23140	11
UAKGERNU_CDS_0070	NC_005880.2	23139	25188	126
UAKGERNU_CDS_0071	NC_005880.2	25265	25529	15
UAKGERNU_CDS_0072	NC_005880.2	25545	25719	17
UAKGERNU_CDS_0073	NC_005880.2	25725	26304	20
UAKGERNU_CDS_0074	NC_005880.2	26296	26923	39
UAKGERNU_CDS_0075	NC_005880.2	26915	27812	42
UAKGERNU_CDS_0076	NC_005880.2	27811	28036	4
UAKGERNU_CDS_0077	NC_005880.2	28104	28845	74
UAKGERNU_CDS_0078	NC_005880.2	28896	29511	69
UAKGERNU_CDS_0079	NC_005880.2	29526	29952	42
UAKGERNU_CDS_0080	NC_005880.2	29941	30133	10
UAKGERNU_CDS_0081	NC_005880.2	30155	30797	43
UAKGERNU_CDS_0082	NC_005880.2	30786	31017	32
UAKGERNU_CDS_0083	NC_005880.2	31019	31247	19
UAKGERNU_CDS_0084	NC_005880.2	31356	32049	30
UAKGERNU_CDS_0085	NC_005880.2	32235	32871	36
UAKGERNU_CDS_0086	NC_005880.2	32937	33729	133
UAKGERNU_CDS_0087	NC_005880.2	33728	34037	39
UAKGERNU_CDS_0088	NC_005880.2	34149	34779	31
UAKGERNU_CDS_0089	NC_005880.2	35014	35104	9
UAKGERNU_CDS_0090	NC_005880.2	35049	35550	24
UAKGERNU_CDS_0091	NC_005880.2	35642	35744	0
UAKGERNU_CDS_0092	NC_005880.2	35709	36513	2
UAKGERNU_CDS_0093	NC_005880.2	36512	37016	3
UAKGERNU_CDS_0094	NC_005880.2	37100	37286	6
UAKGERNU_CDS_0095	NC_005880.2	37348	37477	19
UAKGERNU_CDS_0096	NC_005880.2	37687	37792	6
UAKGERNU_CDS_0097	NC_005880.2	37961	38084	84
UAKGERNU_CDS_0098	NC_005880.2	38474	38582	83
UAKGERNU_CDS_0099	NC_005880.2	38582	38753	3
UAKGERNU_CDS_0100	NC_005880.2	38832	39051	23
UAKGERNU_CDS_0101	NC_005880.2	39164	39305	0
UAKGERNU_CDS_0102	NC_005880.2	39528	39738	0
UAKGERNU_CDS_0103	NC_005880.2	39750	40083	0
UAKGERNU_CDS_0104	NC_005880.2	40095	40422	0
UAKGERNU_CDS_0105	NC_005880.2	40454	40721	0
UAKGERNU_CDS_0106	NC_005880.2	40815	40908	1
UAKGERNU_CDS_0107	NC_005880.2	40981	41248	2
UAKGERNU_CDS_0108	NC_005880.2	41225	41504	0
UAKGERNU_CDS_0109	NC_005880.2	41584	41911	2
UAKGERNU_CDS_0110	NC_005880.2	41925	43743	6
UAKGERNU_CDS_0111	NC_005880.2	43735	44557	21
UAKGERNU_CDS_0112	NC_005880.2	44627	44717	4
UAKGERNU_CDS_0113	NC_005880.2	44713	45193	9
UAKGERNU_CDS_0114	NC_005880.2	45285	46428	28
UAKGERNU_CDS_0115	NC_005880.2	46512	46854	0
UAKGERNU_CDS_0116	NC_005880.2	46931	47243	0
UAKGERNU_CDS_0117	NC_005880.2	47246	48938	4
UAKGERNU_CDS_0118	NC_005880.2	49164	49905	3
UAKGERNU_CDS_0119	NC_005880.2	49923	50874	4
UAKGERNU_CDS_0120	NC_005880.2	50989	52381	19
UAKGERNU_CDS_0121	NC_005880.2	52472	52769	0
UAKGERNU_CDS_0122	NC_005880.2	52781	53690	5
UAKGERNU_CDS_0123	NC_005880.2	53703	54582	4
UAKGERNU_CDS_0124	NC_005880.2	54581	55202	1
UAKGERNU_CDS_0125	NC_005880.2	55220	56057	4
UAKGERNU_CDS_0126	NC_005880.2	56058	56274	1
UAKGERNU_CDS_0127	NC_005880.2	56300	58064	17
UAKGERNU_CDS_0128	NC_005880.2	58136	58565	4
UAKGERNU_CDS_0129	NC_005880.2	58661	58802	2
