#Feature	Chrom	Start	End	Counts
UAKGERNU_CDS_0001	NC_005880.2	84	180	0
UAKGERNU_CDS_0002	NC_005880.2	273	381	0
UAKGERNU_CDS_0003	NC_005880.2	485	785	0
UAKGERNU_CDS_0004	NC_005880.2	800	986	0
UAKGERNU_CDS_0005	NC_005880.2	1092	1380	0
UAKGERNU_CDS_0006	NC_005880.2	1379	1706	0
UAKGERNU_CDS_0007	NC_005880.2	1721	2015	0
UAKGERNU_CDS_0008	NC_005880.2	2018	2276	1
UAKGERNU_CDS_0009	NC_005880.2	2353	2593	0
UAKGERNU_CDS_0010	NC_005880.2	2603	2951	0
UAKGERNU_CDS_0011	NC_005880.2	3161	3500	1
UAKGERNU_CDS_0012	NC_005880.2	3478	3637	0
UAKGERNU_CDS_0013	NC_005880.2	3650	3764	0
UAKGERNU_CDS_0014	NC_005880.2	3810	4119	0
UAKGERNU_CDS_0015	NC_005880.2	4137	4272	0
UAKGERNU_CDS_0016	NC_005880.2	4324	4612	0
UAKGERNU_CDS_0017	NC_005880.2	4661	4853	0
UAKGERNU_CDS_0018	NC_005880.2	4839	4935	0
UAKGERNU_CDS_0019	NC_005880.2	4961	5102	0
UAKGERNU_CDS_0020	NC_005880.2	5169	5658	0
UAKGERNU_CDS_0021	NC_005880.2	5816	5984	0
UAKGERNU_CDS_0022	NC_005880.2	6053	6185	0
UAKGERNU_CDS_0023	NC_005880.2	6352	6676	1
UAKGERNU_CDS_0024	NC_005880.2	6775	7012	0
UAKGERNU_CDS_0025	NC_005880.2	7091	7562	0
UAKGERNU_CDS_0026	NC_005880.2	7620	7794	0
UAKGERNU_CDS_0027	NC_005880.2	7793	8063	0
UAKGERNU_CDS_0028	NC_005880.2	8147	8369	1
UAKGERNU_CDS_0029	NC_005880.2	8442	8544	0
UAKGERNU_CDS_0030	NC_005880.2	8559	8682	0
UAKGERNU_CDS_0031	NC_005880.2	8665	8902	0
UAKGERNU_CDS_0032	NC_005880.2	8901	9075	0
UAKGERNU_CDS_0033	NC_005880.2	9081	9336	0
UAKGERNU_CDS_0034	NC_005880.2	9338	9530	0
UAKGERNU_CDS_0035	NC_005880.2	9526	10012	0
UAKGERNU_CDS_0036	NC_005880.2	10004	10436	0
UAKGERNU_CDS_0037	NC_005880.2	10449	10992	0
UAKGERNU_CDS_0038	NC_005880.2	11003	11492	1
UAKGERNU_CDS_0039	NC_005880.2	11504	11903	0
UAKGERNU_CDS_0040	NC_005880.2	11899	12607	0
UAKGERNU_CDS_0041	NC_005880.2	12706	13261	0
UAKGERNU_CDS_0042	NC_005880.2	13276	13594	0
UAKGERNU_CDS_0043	NC_005880.2	13662	13776	1
UAKGERNU_CDS_0044	NC_005880.2	13784	13961	1
UAKGERNU_CDS_0045	NC_005880.2	13957	14086	0
UAKGERNU_CDS_0046	NC_005880.2	14163	14364	0
UAKGERNU_CDS_0047	NC_005880.2	14363	14465	0
UAKGERNU_CDS_0048	NC_005880.2	14579	15128	0
UAKGERNU_CDS_0049	NC_005880.2	15131	15350	0
UAKGERNU_CDS_0050	NC_005880.2	15350	15545	0
UAKGERNU_CDS_0051	NC_005880.2	15534	16272	1
UAKGERNU_CDS_0052	NC_005880.2	16334	16439	0
